2023-06-13 08:56:40 Websocket connected
2023-06-13 08:56:41 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:56:40.401000", "Open Price": "25774.02000000"}

2023-06-13 08:56:45 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:56:41.647000", "Open Price": "25775.42000000"}

2023-06-13 08:56:49 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:56:42.604000", "Open Price": "25777.84000000"}

2023-06-13 08:56:53 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:56:43.286000", "Open Price": "25777.84000000"}

2023-06-13 08:56:57 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:56:44.542000", "Open Price": "25777.83000000"}

2023-06-13 08:57:01 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:56:45.620000", "Open Price": "25777.83000000"}

2023-06-13 08:57:05 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:56:45.954000", "Open Price": "25777.84000000"}

2023-06-13 08:57:09 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:56:47.623000", "Open Price": "25777.83000000"}

2023-06-13 08:57:13 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:56:48.007000", "Open Price": "25778.58000000"}

2023-06-13 08:57:17 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:56:49.587000", "Open Price": "25783.49000000"}

2023-06-13 08:57:21 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:56:50.268000", "Open Price": "25783.48000000"}

2023-06-13 08:57:25 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:56:50.820000", "Open Price": "25783.48000000"}

2023-06-13 08:57:29 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:56:53.494000", "Open Price": "25784.17000000"}

2023-06-13 08:57:33 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:56:55.860000", "Open Price": "25787.97000000"}

2023-06-13 08:57:37 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:56:56.281000", "Open Price": "25787.98000000"}

2023-06-13 08:57:41 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:56:57.755000", "Open Price": "25787.98000000"}

2023-06-13 08:57:45 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:56:58.720000", "Open Price": "25787.97000000"}

2023-06-13 08:57:49 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:56:59.619000", "Open Price": "25787.98000000"}

2023-06-13 08:57:53 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:00.357000", "Open Price": "25787.98000000"}

2023-06-13 08:57:57 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:01.546000", "Open Price": "25787.98000000"}

2023-06-13 08:58:01 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:02.121000", "Open Price": "25787.98000000"}

2023-06-13 08:58:05 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:03.878000", "Open Price": "25787.98000000"}

2023-06-13 08:58:09 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:04.862000", "Open Price": "25787.98000000"}

2023-06-13 08:58:13 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:05.790000", "Open Price": "25787.98000000"}

2023-06-13 08:58:17 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:06.777000", "Open Price": "25787.98000000"}

2023-06-13 08:58:21 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:07.663000", "Open Price": "25788.67000000"}

2023-06-13 08:58:25 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:08.578000", "Open Price": "25788.67000000"}

2023-06-13 08:58:29 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:10.020000", "Open Price": "25788.67000000"}

2023-06-13 08:58:34 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:11.158000", "Open Price": "25788.67000000"}

2023-06-13 08:58:38 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:11.974000", "Open Price": "25788.68000000"}

2023-06-13 08:58:42 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:12.929000", "Open Price": "25788.67000000"}

2023-06-13 08:58:46 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:13.703000", "Open Price": "25786.69000000"}

2023-06-13 08:58:50 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:14.943000", "Open Price": "25785.55000000"}

2023-06-13 08:58:54 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:15.982000", "Open Price": "25785.54000000"}

2023-06-13 08:58:58 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:16.986000", "Open Price": "25785.41000000"}

2023-06-13 08:59:02 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:17.816000", "Open Price": "25781.17000000"}

2023-06-13 08:59:06 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:18.936000", "Open Price": "25781.17000000"}

2023-06-13 08:59:10 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:19.994000", "Open Price": "25782.83000000"}

2023-06-13 08:59:14 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:20.917000", "Open Price": "25785.54000000"}

2023-06-13 08:59:18 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:21.497000", "Open Price": "25785.54000000"}

2023-06-13 08:59:22 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:22.970000", "Open Price": "25785.54000000"}

2023-06-13 08:59:26 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:23.990000", "Open Price": "25789.35000000"}

2023-06-13 08:59:30 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:25", "Open Price": "25789.35000000"}

2023-06-13 08:59:34 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:25.852000", "Open Price": "25789.35000000"}

2023-06-13 08:59:38 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:26.624000", "Open Price": "25789.34000000"}

2023-06-13 08:59:42 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:27.232000", "Open Price": "25789.35000000"}

2023-06-13 08:59:46 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:29.209000", "Open Price": "25789.35000000"}

2023-06-13 08:59:50 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:29.392000", "Open Price": "25789.35000000"}

2023-06-13 08:59:54 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:31.122000", "Open Price": "25789.35000000"}

2023-06-13 08:59:58 Produced message on topic crypto-open-price1 with value of {"Time": "2023-06-13 07:57:32.199000", "Open Price": "25789.34000000"}

